task,follower,seed,passed,steps,seconds,return_initial,return_final,reference_return,gap_final,kl_initial,kl_final,q_rmse_initial,q_rmse_final,residual_sup,actor_kl,unvisited,reference_residual,evaluation_steps,oracle_sweeps,reference_seconds,diagnostic_seconds,evaluation_seconds,follower_counts
four_rooms,tabular,0,True,100000,126.22611810400849,0.2905572837434721,0.7855434572607819,0.7941097419895027,0.008566284728720786,1.912336856524448,0.7703880884696935,0.818474442247772,0.5535543142852086,0.8265193033566194,7.108001059827718e-09,0.0,9.850775750663843e-11,168,149,0.02505931502673775,0.004686620028223842,0.19679180008824915,"{'train_calls': 24937, 'batch_updates': 24937, 'table_updates': 398992, 'actor_steps': 0, 'critic1_steps': 0, 'critic2_steps': 0, 'target_updates': 0, 'temperature_steps': 0}"
four_rooms,tabular,1,True,100000,113.94412029901287,0.2905572837434721,0.7843398285487542,0.7941097419895027,0.009769913440748512,1.912336856524448,0.9004492396656687,0.818474442247772,0.4866534808159029,0.8170862912339381,8.860645468192384e-09,0.019230769230769232,9.850775750663843e-11,313,149,0.023257161024957895,0.0046162051148712635,0.2526871419977397,"{'train_calls': 24937, 'batch_updates': 24937, 'table_updates': 398992, 'actor_steps': 0, 'critic1_steps': 0, 'critic2_steps': 0, 'target_updates': 0, 'temperature_steps': 0}"
four_rooms,sac,0,True,100000,188.99155716400128,0.26282042137736666,0.7919673671841182,0.7941097419895027,0.0021423748053844838,1.9831262918473276,0.299480576327078,0.9321220034469093,0.032567739087090534,0.08989601169742423,0.864234548355247,0.0,9.850775750663843e-11,223,149,0.023211326042655855,0.004696671909186989,0.23628804500913247,"{'train_calls': 24937, 'critic1_steps': 24937, 'critic2_steps': 24937, 'actor_steps': 24937, 'target_updates': 24937, 'temperature_steps': 0}"
four_rooms,sac,1,True,100000,237.83699895098107,0.32535239723436377,0.7930513565548347,0.7941097419895027,0.0010583854346679633,1.8438076843255449,0.5172747668300466,0.8829987501904016,0.07279776086178665,0.09033072897162575,1.6083613022416106,0.019230769230769232,9.850775750663843e-11,278,149,0.025472589011769742,0.005023338948376477,0.3025083899847232,"{'train_calls': 24937, 'critic1_steps': 24937, 'critic2_steps': 24937, 'actor_steps': 24937, 'target_updates': 24937, 'temperature_steps': 0}"
mg,tabular,0,True,20000,26.15372943802504,26.40853154695762,50.27486341151023,50.282738200776464,0.007874789266232085,4.816960773696378,0.00843348042473677,49.58055902984015,0.2368072576237449,0.18244477652918079,-1.3243915246138064e-08,0.0,9.967493497242685e-11,750,2222,0.21313395199831575,0.0022399029694497585,0.45374844898469746,"{'train_calls': 4937, 'batch_updates': 4937, 'table_updates': 78992, 'actor_steps': 0, 'critic1_steps': 0, 'critic2_steps': 0, 'target_updates': 0, 'temperature_steps': 0}"
mg,tabular,1,True,20000,20.895525656000245,26.40853154695762,49.45051488223288,50.282738200776464,0.8322233185435834,4.816960773696378,0.2188504734557556,49.58055902984015,0.22923697430574938,0.6167313481601298,2.549513868296796e-09,0.0,9.967493497242685e-11,750,2222,0.1817707119625993,0.0019405509810894728,0.39267297100741416,"{'train_calls': 4937, 'batch_updates': 4937, 'table_updates': 78992, 'actor_steps': 0, 'critic1_steps': 0, 'critic2_steps': 0, 'target_updates': 0, 'temperature_steps': 0}"
mg,sac,0,True,20000,34.35150289395824,26.774568378601355,50.25563306007477,50.282738200776464,0.027105140701692676,4.372261231017077,0.03130376957814702,49.66454098544706,30.71155120765987,0.5461033677291027,0.030533347018396526,0.0,9.967493497242685e-11,750,2222,0.18405561498366296,0.0023181280703283846,0.4642718289978802,"{'train_calls': 4937, 'critic1_steps': 4937, 'critic2_steps': 4937, 'actor_steps': 4937, 'target_updates': 4937, 'temperature_steps': 0}"
mg,sac,1,True,20000,34.80703567498131,25.233845302428357,50.25834548080681,50.282738200776464,0.02439271996965431,5.005956020385316,0.02932809183200052,49.74766012538745,30.7653384687293,0.47613016096559946,0.40670830657559986,0.0,9.967493497242685e-11,750,2222,0.18485013098688796,0.002286098024342209,0.4718044620822184,"{'train_calls': 4937, 'critic1_steps': 4937, 'critic2_steps': 4937, 'actor_steps': 4937, 'target_updates': 4937, 'temperature_steps': 0}"
